stock_name,date,closing_price
DLG,12/01/2022,2.53
DLG,11/30/2022,2.37
DLG,11/29/2022,2.28
DLG,11/28/2022,2.14
DLG,11/25/2022,2.0
DLG,11/24/2022,1.88
DLG,11/23/2022,1.87
DLG,11/22/2022,2.01
DLG,11/21/2022,1.88
DLG,11/18/2022,1.76
DLG,11/17/2022,1.65
DLG,11/16/2022,1.55
DLG,11/15/2022,1.45
DLG,11/14/2022,1.55
DLG,11/11/2022,1.66
DLG,11/10/2022,1.75
DLG,11/09/2022,1.88
DLG,11/08/2022,1.82
DLG,11/07/2022,1.85
DLG,11/04/2022,1.97
DLG,11/03/2022,2.06
DLG,11/02/2022,2.05
DLG,11/01/2022,2.04
DLG,10/31/2022,2.04
DLG,10/28/2022,2.1
DLG,10/27/2022,2.11
DLG,10/26/2022,2.01
DLG,10/25/2022,2.06
DLG,10/24/2022,2.09
DLG,10/21/2022,2.24
DLG,10/20/2022,2.4
DLG,10/19/2022,2.43
DLG,10/18/2022,2.47
DLG,10/17/2022,2.41
DLG,10/14/2022,2.46
DLG,10/13/2022,2.42
DLG,10/12/2022,2.42
DLG,10/11/2022,2.36
DLG,10/10/2022,2.53
DLG,10/07/2022,2.53
DLG,10/06/2022,2.72
DLG,10/05/2022,2.86
DLG,10/04/2022,2.7
DLG,10/03/2022,2.79
DLG,09/30/2022,2.99
DLG,09/29/2022,3.06
DLG,09/28/2022,3.08
DLG,09/27/2022,3.18
DLG,09/26/2022,3.28
DLG,09/23/2022,3.51
DLG,09/22/2022,3.46
DLG,09/21/2022,3.4
DLG,09/20/2022,3.41
DLG,09/19/2022,3.32
DLG,09/16/2022,3.56
DLG,09/15/2022,3.67
DLG,09/14/2022,3.67
DLG,09/13/2022,3.67
DLG,09/12/2022,3.69
DLG,09/09/2022,3.6
DLG,09/08/2022,3.65
DLG,09/07/2022,3.74
DLG,09/06/2022,3.94
DLG,09/05/2022,4.0
DLG,08/31/2022,4.0
DLG,08/30/2022,4.05
DLG,08/29/2022,4.0
DLG,08/26/2022,4.12
DLG,08/25/2022,4.22
DLG,08/24/2022,4.23
DLG,08/23/2022,4.2
DLG,08/22/2022,4.05
DLG,08/19/2022,4.19
DLG,08/18/2022,4.16
DLG,08/17/2022,4.33
DLG,08/16/2022,4.4
DLG,08/15/2022,4.4
DLG,08/12/2022,4.41
DLG,08/11/2022,4.43
DLG,08/10/2022,4.61
DLG,08/09/2022,4.61
DLG,08/08/2022,4.6
DLG,08/05/2022,4.45
DLG,08/04/2022,4.4
DLG,08/03/2022,4.36
DLG,08/02/2022,4.45
DLG,08/01/2022,4.28
DLG,07/29/2022,4.26
DLG,07/28/2022,4.21
DLG,07/27/2022,4.19
DLG,07/26/2022,4.17
DLG,07/25/2022,4.13
DLG,07/22/2022,4.35
DLG,07/21/2022,4.34
DLG,07/20/2022,4.38
DLG,07/19/2022,4.36
DLG,07/18/2022,4.08
DLG,07/15/2022,4.06
DLG,07/14/2022,4.01
DLG,07/13/2022,4.03
DLG,07/12/2022,4.03
DLG,07/11/2022,3.77
DLG,07/08/2022,3.8
DLG,07/07/2022,3.64
DLG,07/06/2022,3.65
DLG,07/05/2022,3.78
DLG,07/04/2022,3.96
DLG,07/01/2022,3.75
DLG,06/30/2022,3.75
DLG,06/29/2022,4.03
DLG,06/28/2022,4.08
DLG,06/27/2022,3.82
DLG,06/24/2022,3.65
DLG,06/23/2022,3.67
DLG,06/22/2022,3.55
DLG,06/21/2022,3.32
DLG,06/20/2022,3.46
DLG,06/17/2022,3.71
DLG,06/16/2022,3.98
DLG,06/15/2022,4.05
DLG,06/14/2022,4.35
DLG,06/13/2022,4.52
DLG,06/10/2022,4.86
DLG,06/09/2022,5.08
DLG,06/08/2022,5.11
DLG,06/07/2022,4.79
DLG,06/06/2022,5.15
DLG,06/03/2022,5.18
DLG,06/02/2022,5.16
DLG,06/01/2022,5.31
DLG,05/31/2022,5.5
DLG,05/30/2022,5.68
DLG,05/27/2022,5.79
DLG,05/26/2022,5.51
DLG,05/25/2022,5.3
DLG,05/24/2022,5.1
DLG,05/23/2022,5.09
DLG,05/20/2022,5.06
DLG,05/19/2022,5.0
DLG,05/18/2022,4.99
DLG,05/17/2022,4.8
DLG,05/16/2022,4.49
